genes	logFC.wtvswt.20min	logFC.wtvswt.30min	logFC.wtvswt.45min	logFC.wtvswt.60min	logFC.wtvswt.90min	logFC.wtvswt.120min	logFC.wtvswt.150min	logFC.wtvswt.180min	logFC.wtvswt.240min	logCPM	F	PValue	FDR
CAGL0E02013g	-1.66665871379729	-3.61400794035622	-6.45260540860301	-6.99105555432837	-6.63715422411362	-6.42424007253155	-6.08641550029725	-6.34398135546153	-5.37568263941383	8.98723111328861	171.69462903093	2.08284331540313e-10	1.17075561808635e-08
CAGL0E01463g	-0.942008300157409	-1.82477553712437	-2.30504945803859	-2.30761463512433	-2.22970945323931	-2.12010187795828	-1.92193246953831	-1.94194364972632	-1.80632172268011	8.33630432642478	144.600487212304	2.08722182978661e-10	1.17075561808635e-08
CAGL0I10010g	4.39037924146734	1.58342987642396	0.591743591607116	-0.460962148926693	-0.21321616734215	-0.673828858436762	-0.492624245378382	-0.942946829966864	-0.649078189414365	3.84297011061851	144.117539896157	2.12683952309671e-10	1.17075561808635e-08
CAGL0M03861g	-1.09301052507069	-2.75363392305421	-5.28206885272614	-5.55523341948663	-5.4898582557171	-4.65444778678926	-4.84588340783659	-5.26755028496226	-4.21174895403828	9.50833440143607	145.538660659814	2.15329973363129e-10	1.17075561808635e-08
CAGL0G07106g	-2.4307723499876	-4.84594408344509	-5.83313856053612	-5.49643819257315	-4.66778988981949	-4.35696105778334	-4.51613216666763	-4.58997674199027	-3.74804190502405	5.87035855245554	163.09251328552	2.15766257640522e-10	1.17075561808635e-08
CAGL0G02717g	3.41750806778059	4.86907911513819	5.07245892691481	5.03176060885618	4.84147251678295	5.13384186561613	5.34835914835718	5.48054850906414	5.39070565018269	7.4199131890181	143.294921275321	2.19637592238758e-10	1.17075561808635e-08
CAGL0D00990g	2.67659450690067	3.84978712653185	4.16664354423842	4.44425052684002	4.45661913866273	4.57303381664242	4.46714598112477	4.66868812010826	4.3569750159786	7.96653538197346	143.236342945577	2.20142871621624e-10	1.17075561808635e-08
CAGL0G00924g	-1.83356179644158	-3.68716574797959	-4.00871250462664	-3.52424053692277	-3.30172254362328	-2.60576856785467	-2.36338272281551	-2.31067317080479	-1.74889092156593	5.61930210070107	143.207168354895	2.20395032727099e-10	1.17075561808635e-08
CAGL0H06369g	-0.770297659166048	-1.52746918177568	-2.23224075380192	-2.40603532952399	-2.43434193772523	-2.65685906983417	-2.07532347969161	-2.24567445827274	-2.24222415909692	7.6341120096969	142.754703083287	2.24349573042553e-10	1.17075561808635e-08
CAGL0L10978g	-1.37183753165656	-2.90247980192693	-3.614034886323	-3.37498552080436	-3.06530208555074	-2.83282996858353	-2.69616096678282	-2.74251468266661	-2.19507225174437	6.46699805788903	142.649441647508	2.25281480143145e-10	1.17075561808635e-08
CAGL0I02992g	0.611698206427274	-1.12155708700776	-1.6123457584313	-1.66072023613575	-2.15707913336752	-2.04375397326075	-2.05679834465101	-2.15103908053438	-1.64251586894342	6.4308891809593	142.484843825448	2.26747845419319e-10	1.17075561808635e-08
CAGL0H08844g	2.8192752776155	4.40726684685376	4.98826002497799	4.99584393050186	4.90561403080375	4.94340778382518	4.96580254357556	5.17289588676678	4.92608510257973	9.78943843205311	142.403873897488	2.27473304387649e-10	1.17075561808635e-08
CAGL0K07546g	8.57389798718311	9.77753389622175	10.3164148057961	10.1976845665723	10.0844732153709	10.1238468158172	10.0596108148139	10.0721775567459	10.192925388817	12.0290902290199	142.270641409875	2.28672962958746e-10	1.17075561808635e-08
CAGL0L03806g	-2.74553162981008	-4.72621498475249	-4.8639192209225	-4.30942722710214	-3.4658440888843	-3.01729898988246	-3.09940042196188	-2.99078328120158	-2.49058619899201	5.75932410156098	141.8454963914	2.32551113891347e-10	1.17075561808635e-08
CAGL0J00473g	-2.57700028805036	-4.61706660958064	-4.23310521388592	-3.98140462369942	-3.20232994331468	-2.66543256615593	-2.47607740240497	-2.59078101765398	-2.12879907911552	6.6697661001882	145.963735929661	2.33113772716821e-10	1.17075561808635e-08
CAGL0F08503g	0.116809875472909	-0.522075370142056	-1.13989684331253	-1.22777119043906	-1.94869725654696	-1.93722356009898	-1.91673815671446	-1.91293092058365	-1.64189936572281	6.8676746053589	141.575319538234	2.35055841014339e-10	1.17075561808635e-08
CAGL0L00957g	1.77159755535832	3.11515505727493	3.52464744312527	3.35885285413606	3.03090294652399	2.85084566274409	2.67186192259043	2.62589554735387	2.25432056227648	8.0288988609895	141.233359136046	2.38271668388298e-10	1.17075561808635e-08
CAGL0G04829g	2.02950469044185	2.85705207526545	3.07163615683865	3.07642944225277	3.0571350475592	3.01171709847156	3.00940083720013	3.08712661152939	2.8076308671595	7.42274659725056	141.125694290391	2.39294844575433e-10	1.17075561808635e-08
CAGL0M05951g	1.72718953293565	2.85724426672285	3.59752522229646	3.77059843297604	3.75335314211604	3.81762329921895	3.63387384444714	3.83587559978238	3.33442160562378	6.5047163265958	140.640612763383	2.43969285789373e-10	1.1760214084178e-08
CAGL0B03201g	2.07603795911866	2.73262719695582	2.47763237454799	2.22737190570319	1.62244691796187	1.17122065510644	0.93548541494852	0.951267114162939	0.475396005919406	6.10228915584207	140.429480421475	2.46037319043604e-10	1.1760214084178e-08
CAGL0I03630g	-2.21221378372438	-4.15459235539461	-3.99327989943987	-3.83324757952859	-2.94004069474178	-2.52185006637304	-2.20778210313732	-2.33955339309176	-1.95451010428707	5.19899768405012	140.219631311885	2.48113232948486e-10	1.1760214084178e-08
CAGL0K07458g	1.71241337820403	2.63367146317907	3.21064370560913	3.48973347153381	3.81497206619357	4.04147213925839	3.91046094021284	3.74388237392391	3.86161571422091	8.6244883909047	140.093643048938	2.49369452249731e-10	1.1760214084178e-08
CAGL0M02915g	5.15074086756989	7.42617201625121	8.95031355689078	9.2453709761819	9.66266214568869	9.74240505160666	9.70210975399023	9.71723880230217	9.60887908884457	6.15713667896855	139.656614743593	2.53785359090957e-10	1.1760214084178e-08
CAGL0E01991g	-1.1471654694026	-2.86165602562182	-5.30845186113977	-5.68229105923419	-5.68083904958708	-4.66298108697012	-4.60639062822511	-5.03858105021662	-4.01139879178212	9.32591745699436	143.301150369923	2.55823970899497e-10	1.1760214084178e-08
CAGL0G03311g	-1.15511843206221	-2.14394194543295	-2.83227844189109	-2.71629232759664	-2.67016787937701	-2.55537541350992	-2.4807238490636	-2.82460302383554	-2.25382167382318	8.50778540100238	139.431451476853	2.56096352549435e-10	1.1760214084178e-08
CAGL0F03113g	1.20461404996452	1.89159512124007	2.30869994502283	2.42303468351434	2.55403184315522	2.58591349838914	2.62881102578079	2.69123530760094	2.31536590862541	7.65115809124564	139.199527887791	2.58502639902144e-10	1.17636400236896e-08
CAGL0E06072g	2.22092181610649	3.0937731802691	3.2798451462545	3.25360549200629	2.84626860919338	2.75197805868975	2.72663365904019	2.86307985070003	2.96321225647293	7.15357284858675	138.802678658972	2.6268202599985e-10	1.17636400236896e-08
CAGL0M06523g	-1.2334903106398	-2.93573057260169	-5.30282203133407	-5.61083809161192	-5.35104907626623	-4.67362687747288	-4.42994656558771	-4.81526550070077	-3.80556009124306	9.55713827312416	139.606764558333	2.62912298523722e-10	1.17636400236896e-08
CAGL0L04378g	3.77014651352141	4.99430890455194	5.72331845266685	5.98419952319351	6.06042990467512	6.13307481668898	6.17091219881977	6.27851683637106	5.89846951598801	9.12303821997255	138.265767781912	2.68463578944745e-10	1.19102274218283e-08
CAGL0D04884g	-2.19753437473904	-4.19188834479804	-4.09848366458359	-3.42969441773157	-2.83824105661142	-2.43750729943597	-2.31657849118605	-2.74973092687861	-2.17033000101676	5.57126317815377	138.057636904015	2.70744914999476e-10	1.1910501092624e-08
CAGL0G08558g	-0.163101646515323	-0.293653895505917	-0.850795067670535	-1.27298626723726	-1.53257855994342	-1.95073288604984	-2.16372391544044	-2.02398089173243	-1.57360751857014	6.6396272582809	137.661173034685	2.75153947006496e-10	1.20035909381584e-08
CAGL0F03267g	0.757245525629958	1.65001721896937	2.490888286755	2.54310279872409	2.70170272859384	2.79120197912642	2.75961495499803	2.68706518435045	2.43128203470065	7.81514656922582	136.651551940058	2.86768457357506e-10	1.24068832584012e-08
CAGL0D04070g	0.839633825725127	1.40183792850328	1.55093925806355	1.41666406084695	0.512223590404739	0.130813308705438	0.0319940529014297	-0.0290279457451824	-0.530649586232275	5.89857709293304	136.154844369704	2.92693548903433e-10	1.25594322008973e-08
