gene.names	S37	S38	S1	S2
CAGL0C04543g	559	484	56	245
CAGL0C04565g	409	406	149	284
CAGL0C04587g	335	410	167	366
CAGL0C04609g	679	696	66	309
CAGL0C04631g	398	347	60	195
CAGL0C04653r	0	0	0	0
CAGL0C04697g	1181	1240	317	1163
CAGL0C04719g	215	162	44	172
CAGL0C04741g	2493	1821	109	639
CAGL0C04763g	618	661	145	443
CAGL0C04785g	28	33	1	17
CAGL0C04807g	955	1047	282	869
CAGL0C04829g	180	173	68	165
CAGL0C04851g	305	393	100	286
CAGL0C04873g	884	874	331	829
CAGL0C04895g	348	336	68	216
CAGL0C04917g	766	765	226	605
CAGL0C04933g	6	6	5	3
CAGL0C04939g	248	212	27	60
CAGL0C04961g	410	413	166	432
CAGL0C04983g	3113	3446	859	2558
CAGL0C05005g	169	158	45	140
CAGL0C05027g	679	456	12	69
CAGL0C05049g	1055	1015	264	776
CAGL0C05071g	387	380	142	298
CAGL0C05093g	1215	1171	301	820
CAGL0C05115g	527	603	117	353
CAGL0C05137g	8838	9465	1066	5025
CAGL0C05159g	1438	1488	256	752
CAGL0C05181g	1928	2240	643	1567
CAGL0C05203g	695	634	161	417
CAGL0C05225g	489	431	114	360
CAGL0C05247g	1331	1282	271	833
CAGL0C05269g	513	472	96	297
CAGL0C05291g	710	712	200	507
CAGL0C05313g	2396	2601	787	1951
CAGL0C05335g	96	86	11	74
CAGL0C05357g	883	912	256	691
CAGL0C05379g	13728	16600	4433	13103
CAGL0C05401g	0	0	1	1
CAGL0C05423g	443	434	83	271
CAGL0C05445g	194	272	64	157
CAGL0C05461g	324	388	120	345
CAGL0C05467g	2	3	3	2
CAGL0C05489g	281	305	74	187
CAGL0C05511g	1855	2050	577	1476
CAGL0C05533g	259	291	21	161
CAGL0C05555g	249	296	56	200
CAGL0C05577g	2	2	4	6
CAGL0C05599g	448	558	146	368
CAGL0C05621g	3	0	2	1
CAGL0C05643g	44	22	0	0
CAGL0D00105g	0	0	0	0
CAGL0D00110g	0	0	0	0
CAGL0D00116g	0	0	0	0
CAGL0D00154g	1	0	0	1
CAGL0D00176g	4430	7572	2690	9935
CAGL0D00198g	36	48	5	54
CAGL0D00220g	400	473	211	454
CAGL0D00242g	527	589	215	477
CAGL0D00264g	33	22	23	30
CAGL0D00286g	1386	1528	258	970
CAGL0D00308r	0	0	0	0
CAGL0D00330g	370	399	100	262
CAGL0D00352g	206	163	27	78
CAGL0D00374g	0	0	0	0
CAGL0D00396g	0	0	0	0
CAGL0D00418g	1956	1980	256	950
CAGL0D00440g	437	446	123	314
CAGL0D00462g	801	934	182	545
CAGL0D00484g	4968	5762	1234	3349
CAGL0D00506g	255	295	98	273
CAGL0D00528g	20011	20138	6212	20711
CAGL0D00550g	4462	5407	1616	3782
CAGL0D00572g	370	410	113	258
CAGL0D00594g	772	648	248	558
CAGL0D00616g	15262	17815	6475	15879
CAGL0D00627r	2	3	9	11
CAGL0D00638g	1368	1484	556	1180
CAGL0D00660g	542	574	93	252
CAGL0D00682g	1045	1208	278	793
CAGL0D00704g	1020	940	186	553
CAGL0D00726g	257	285	88	229
CAGL0D00748g	1827	1773	507	1301
CAGL0D00770g	1964	1784	488	1643
