CAGL0L01287g	UTR4
CAGL0D01034g	VIG9
CAGL0H00638g	VIK1
CAGL0M09823g	VIP1
CAGL0I03960g	VMA1
CAGL0K05379g	VMA13
CAGL0C00649g	VMA2
CAGL0H08437g	VPS15
CAGL0L01837g	VPS24
CAGL0I05830g	VPS27
CAGL0J06886g	VPS30
CAGL0G08360g	VPS34
CAGL0B02772g	VPS38
CAGL0H09196g	VRG4
CAGL0H04367g	WAR1
CAGL0I05896g	YAK1
CAGL0K02585g	YAP3
CAGL0M08800g	YAP6
CAGL0F01265g	YAP7
CAGL0K06743g	YBP1
CAGL0C03289g	YBT1
CAGL0I10945g	YCA1
CAGL0L06402g	YCF1
CAGL0J09966g	YDJ1
CAGL0I06578g	YEY2
CAGL0L06666g	YHB1
CAGL0I02662g	YKU70
CAGL0K03443g	YKU80
CAGL0G00242g	YOR1
CAGL0M04191g	YPS1
CAGL0E01859g	YPS10
CAGL0E01881g	YPS11
CAGL0E01419g	YPS2
CAGL0E01727g	YPS3
CAGL0E01749g	YPS4
CAGL0E01771g	YPS5
CAGL0E01793g	YPS6
CAGL0A02431g	YPS7
CAGL0E01815g	YPS8
CAGL0E01837g	YPS9
CAGL0K00759g	ZPR1
CAGL0J07612g	ZWF1
