genesymbol	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	AveExpr	F	P.Value	adj.P.Val
CAGL0M05027g	0.127911352841855	0.152644055656615	0.0715637524582	0.0655432749296425	-0.0706375794416445	-0.20422591773585	-0.360803231868694	-0.354233536886671	-0.408243370862994	7.26103098279992	6.57895838690064	0.00475048148827546	0.00624686525775484
CAGL0D02486g	0.363913418396224	-0.0415365569765687	-0.0497040741423618	0.0668595132073273	0.129024669012044	0.300176722517659	0.311799020969925	0.27908107455914	0.431472988361514	6.84755201235385	6.57771414034877	0.00475369135435337	0.00624951638373678
CAGL0K12738g	-0.0705497820932912	-0.18694734685976	-0.0392457995923801	-0.185323746292663	-0.298864207522749	-0.308881996445581	-0.460056684564798	-0.484702461320996	-0.539357909278169	6.43758183715928	6.57644997675334	0.00475695530128533	0.00625223725890753
CAGL0C04477g	0.22869017316802	0.324472411432595	0.186374353745101	0.241407421315476	0.382797343409466	0.482422059167326	0.497902651345677	0.62228811623657	0.468103969363897	7.05635633632397	6.57373302379095	0.00476397942906301	0.00625989766846005
CAGL0G05720g	-0.0930708943842249	0.0691326043847997	0.48703940383944	0.490724356030579	0.660623889861515	0.634430193281295	0.703310525312026	1.27223443476804	0.930057371633695	3.94500071885175	6.57096324257888	0.00477115311095253	0.00626775069908067
CAGL0F06677g	0.357493658074539	1.51856443826824	2.46312297282506	2.44674990365483	1.97573711162803	2.62821227247653	1.98915014430795	2.28003369582832	1.7882146566837	3.44230043031953	6.55926133249393	0.00480160609789481	0.00630617358817846
CAGL0B02629g	0.163518894792086	0.346386661082807	0.271629463129077	0.357816647975276	0.499059177154091	0.408661019606739	0.503516987344261	0.482610492939293	0.407169796069591	6.99101392039183	6.55850655326558	0.00480357842769696	0.00630718160747268
CAGL0K11682g	0.316402988538635	0.509263427018605	0.744568821334935	0.842052887860085	1.2356840927866	1.22538707914909	1.3204662727869	1.55780618474099	0.886983842646297	5.09485331864664	6.5371788198444	0.00485971952250994	0.00637929581252245
CAGL0J07953r	-0.172777557902726	0.768640018685763	1.09956588306133	1.33361621946841	0.575361860565164	2.38219973842276	1.61586006314961	1.90183243232571	1.76331170004776	1.24576834460798	6.53059429433008	0.00487721285188469	0.0064006541187306
CAGL0J01892g	0.259558796864534	0.526568275498498	0.932662957463949	0.756194573582052	0.681530845407829	0.419281788615722	0.725848161868928	0.742110258613309	0.566896112909639	8.9737832632368	6.49978284219828	0.00496009460078121	0.00650779329200241
